ID,Channel,Purchases
342199,Web,2
8075450,Web,1
13664263,Web,2
16164787,Web,4
15815139,Web,3
7194200,Web,1
2330269,Web,4
12076936,Web,4
13223357,Web,3
7068405,Web,3
1558456,Web,1
923176,Web,3
1271145,Web,13
15615168,Web,2
34723,Web,2
9974730,Web,6
13780787,Web,1
2275327,Web,0
9413456,Web,6
2968257,Web,7
13545753,Web,10
7322177,Web,2
943046,Web,13
9006929,Web,4
16663364,Web,2
10295988,Web,1
5194720,Web,4
8471865,Web,3
13912972,Web,5
13815974,Web,4
9754902,Web,4
6167587,Web,3
15145895,Web,4
3275751,Web,3
3620143,Web,4
16235636,Web,4
7142362,Web,3
622010,Web,3
15626087,Web,2
16438440,Web,3
11796404,Web,1
15398057,Web,5
4842847,Web,3
11653033,Web,1
5576961,Web,7
14959473,Web,2
7119290,Web,4
4443100,Web,3
12284547,Web,5
13826586,Web,4
1917384,Web,2
9510493,Web,1
6602036,Web,3
15452824,Web,3
13341014,Web,4
9096076,Web,2
1135566,Web,6
11428767,Web,2
14983459,Web,6
15464104,Web,6
9798566,Web,3
13086942,Web,4
12115466,Web,1
13187477,Web,5
15154878,Web,12
2100210,Web,4
11755920,Web,2
7248294,Web,2
82023,Web,5
11834004,Web,4
12933809,Web,2
10460549,Web,4
15560129,Web,2
15304690,Web,9
2924623,Web,4
167125,Web,8
9860620,Web,2
1056015,Web,1
14253993,Web,6
15635945,Web,4
832275,Web,1
11422224,Web,2
7268453,Web,1
7139089,Web,3
12308701,Web,7
7535384,Web,3
15685636,Web,3
15538107,Web,2
14371478,Web,2
12508848,Web,2
15903053,Web,3
2425475,Web,4
1339664,Web,6
13701816,Web,4
6757971,Web,3
3699727,Web,4
2693323,Web,6
5377176,Web,4
5610727,Web,4
2304871,Web,5
14772449,Web,1
6944787,Web,0
666639,Web,7
11665366,Web,2
12571366,Web,2
7820810,Web,1
8984294,Web,6
3379081,Web,12
10690550,Web,0
12510546,Web,7
6362038,Web,4
9451059,Web,6
5751590,Web,8
3362301,Web,2
4472203,Web,7
13283144,Web,4
9392383,Web,12
331147,Web,6
6150043,Web,7
9336282,Web,1
11452829,Web,6
5556534,Web,1
9183230,Web,13
5558766,Web,4
2589974,Web,3
16560237,Web,4
11436977,Web,9
2152305,Web,4
