Segment,Customers,Customer_Share,Average_Income,Average_Spend,Response_Rate
Campaign Responder,8265,0.1475892857142857,75317.24231094979,939.2947368421053,1.0
Ideal Target Customer,4504,0.08042857142857143,90080.19806838366,1984.2895204262877,0.2673179396092362
High Spender,5608,0.10014285714285714,87839.90706134093,1971.548858773181,0.2603423680456491
Loyal Customer,3677,0.06566071428571428,79003.47867827033,1005.9450639107969,0.23633396790862116
High Income Customer,19782,0.35325,94997.93413709433,1038.033515316955,0.23536548377312708
Deal Hunter,21776,0.38885714285714285,55734.264460874365,613.5818791329905,0.14359845701689933
High Web Engagement,29970,0.5351785714285714,48626.71902235568,510.0789122455789,0.12072072072072072
Young Customer,8285,0.14794642857142856,51779.07589619795,485.5771876885938,0.11647555823777912
Family Customer,38222,0.6825357142857142,48493.549531683326,499.6967714928575,0.11618962900947098
Under-served Customer,16765,0.299375,32309.417971965402,129.7812108559499,0.0
